paintbrush,movement,participant,SO,SA,SO (control),SA (control),Proprioceptive drift (mm)
with,sync,1,1.000000,1.000000,-3.000000,-2.000000,36
with,sync,2,2.000000,2.333333,-2.000000,-2.333333,105
with,sync,3,1.333333,1.333333,-2.000000,-2.333333,21
with,sync,4,1.333333,1.000000,-0.333333,-1.000000,36
with,sync,5,1.333333,1.000000,-1.000000,-3.000000,2
with,sync,6,1.333333,2.000000,-0.333333,1.000000,-18
with,sync,7,2.000000,2.000000,-2.000000,-0.333333,40
with,sync,8,0.666667,2.333333,-3.000000,-1.333333,27
with,sync,9,0.666667,2.000000,0.000000,-2.000000,-27
with,sync,10,0.000000,-0.666667,-0.666667,-1.666667,14
with,sync,11,0.666667,2.333333,-2.666667,-0.333333,4
with,sync,12,-3.000000,3.000000,-3.000000,-3.000000,37
with,sync,13,2.000000,3.000000,-3.000000,-3.000000,6
with,sync,14,2.000000,3.000000,-1.666667,-2.666667,-2
with,sync,15,1.000000,2.000000,-0.666667,-1.000000,-19
with,async,1,-0.333333,1.333333,-2.000000,-2.000000,39
with,async,2,-1.000000,2.333333,-3.000000,-2.000000,8
with,async,3,-2.333333,2.000000,-2.000000,-1.666667,-43
with,async,4,-2.666667,-1.000000,-2.666667,-0.666667,-61
with,async,5,1.000000,-0.666667,-0.666667,-2.666667,-39
with,async,6,-2.000000,-0.333333,-0.333333,1.666667,-5
with,async,7,-0.666667,2.000000,-3.000000,0.333333,-20
with,async,8,-1.666667,3.000000,-2.333333,-2.666667,2
with,async,9,-2.333333,2.000000,-1.333333,-2.000000,4
with,async,10,1.000000,0.666667,-1.333333,-1.333333,-7
with,async,11,-1.333333,2.333333,-3.000000,0.333333,-22
with,async,12,-3.000000,3.000000,-3.000000,-3.000000,12
with,async,13,1.666667,3.000000,-3.000000,-3.000000,3
with,async,14,-3.000000,1.666667,-3.000000,-0.333333,22
with,async,15,-1.666667,1.000000,-2.333333,-1.000000,16
without,sync,1,1.666667,1.666667,-1.000000,1.000000,38
without,sync,2,3.000000,3.000000,-1.666667,-3.000000,77
without,sync,3,2.333333,2.666667,-0.666667,-1.333333,21
without,sync,4,0.666667,0.333333,-1.000000,1.000000,20
without,sync,5,1.333333,2.000000,-1.000000,-2.666667,-12
without,sync,6,1.333333,2.000000,-1.333333,2.000000,-5
without,sync,7,2.666667,2.333333,-1.666667,0.000000,-5
without,sync,8,1.666667,2.333333,-2.333333,1.000000,13
without,sync,9,2.333333,2.000000,0.000000,-2.000000,-8
without,sync,10,1.333333,1.333333,-0.666667,-0.666667,4
without,sync,11,-0.333333,2.333333,-2.666667,-0.333333,-10
without,sync,12,-3.000000,3.000000,-3.000000,-3.000000,17
without,sync,13,2.666667,3.000000,-1.666667,-0.333333,8
without,sync,14,-1.000000,3.000000,-3.000000,-3.000000,21
without,sync,15,0.333333,2.000000,-1.000000,-1.000000,-13
without,async,1,-2.333333,1.000000,-1.666667,-2.000000,-11
without,async,2,0.333333,3.000000,-0.666667,-3.000000,30
without,async,3,-3.000000,2.666667,-2.666667,-3.000000,0
without,async,4,-2.000000,-0.666667,-2.333333,1.000000,-70
without,async,5,-2.666667,-0.333333,-1.000000,-3.000000,-30
without,async,6,-1.666667,-0.666667,-0.333333,1.333333,18
without,async,7,0.000000,1.333333,-3.000000,-1.333333,0
without,async,8,2.000000,2.666667,0.666667,-1.333333,21
without,async,9,2.000000,3.000000,1.000000,-1.333333,-8
without,async,10,-0.333333,1.000000,-0.666667,-0.666667,5
without,async,11,-0.666667,2.000000,-3.000000,-1.666667,-2
without,async,12,-3.000000,3.000000,-1.666667,-3.000000,-21
without,async,13,2.666667,2.666667,-3.000000,-1.333333,-24
without,async,14,-3.000000,1.333333,-3.000000,0.333333,28
without,async,15,-1.333333,1.000000,-2.666667,-1.000000,12
