participant_id,derivative_path,pointer_blob_sha,annex_key,bytes,sha256,annex_hash_path,annex_location_log_blob_sha,annex_remote_metadata_blob_sha,present_nemar_s3,present_openneuro_s3_public,present_openneuro_source,s3_export_path,s3_version_id,bytes_acquired
sub-01,derivatives/crossdecoding/sub-01_task-touchdecoding_crossdecoding.mat,a23b5a176d835779d490a52a022dc002ff0cd7a3,SHA256E-s2731199--f99f426a2115b5b882febf080937cf7cc1676abde16729ff19e2890fe40a4385.mat,2731199,f99f426a2115b5b882febf080937cf7cc1676abde16729ff19e2890fe40a4385,a0d/b5c,f5661391c6c5f4391bd13f45d2ee4002fd268974,f7dd15b928d202706c472d91aa14225fd70353d6,true,true,true,ds004563/derivatives/crossdecoding/sub-01_task-touchdecoding_crossdecoding.mat,dmmyVIKm0LMWq3b6lsN50OIfUTroTzuZ,false
sub-02,derivatives/crossdecoding/sub-02_task-touchdecoding_crossdecoding.mat,679f2d7caa0f412c481a8a4c55e4d563015f78a7,SHA256E-s2698552--feab57680aede9da6da1e0c38371a2dc2e39c980c155175ea9a2a027743adace.mat,2698552,feab57680aede9da6da1e0c38371a2dc2e39c980c155175ea9a2a027743adace,0f7/4d9,d8a11fc27bb312c5637c6701f637e05cd319fc9b,4070697800191a54fe40c833e2b71c00bef13fe3,true,true,true,ds004563/derivatives/crossdecoding/sub-02_task-touchdecoding_crossdecoding.mat,ePmWKhOri1Y1BXo8ltc3S6rxy4oX0bn2,false
sub-03,derivatives/crossdecoding/sub-03_task-touchdecoding_crossdecoding.mat,b6d92308fb005aa2f40ad8db6b0cd9d1d60f30c9,SHA256E-s2653046--20c97f7a8d46507a63c16b93235e991ffb3d563bfb60092d3739cac94406f4f7.mat,2653046,20c97f7a8d46507a63c16b93235e991ffb3d563bfb60092d3739cac94406f4f7,702/59b,14dffbc428e572fe63f1922809d49f430334dc87,71b6f8b15ce8cbece102078b2d995c4681189e2b,true,true,true,ds004563/derivatives/crossdecoding/sub-03_task-touchdecoding_crossdecoding.mat,PkZk3sJ3s.iSP46Px2BrtHgeWv8e8Pug,false
sub-04,derivatives/crossdecoding/sub-04_task-touchdecoding_crossdecoding.mat,14f9f658f15cd2e8b626ba6ff498f7ac902c99c3,SHA256E-s2717415--72bb9689c136c6252eff019fad76a9d497456a4a1c7f220c006b766789c485b3.mat,2717415,72bb9689c136c6252eff019fad76a9d497456a4a1c7f220c006b766789c485b3,49a/1d4,05f0d9683896f2d2518db4dc5511930c719523b9,4f82b1aaeb2862862e573bd2d10e517c851b74a0,true,true,true,ds004563/derivatives/crossdecoding/sub-04_task-touchdecoding_crossdecoding.mat,FCdKA2V.TKOhEjulix8sA3HqT6kcYTBX,false
sub-05,derivatives/crossdecoding/sub-05_task-touchdecoding_crossdecoding.mat,33fb85c398d4ba8464177d29b9b75b7d120a0c73,SHA256E-s2679715--7d474f2dfbeb2eeab290c5584610351ab131d06d4559e7c99ef557b26607496f.mat,2679715,7d474f2dfbeb2eeab290c5584610351ab131d06d4559e7c99ef557b26607496f,497/5b2,d68bf849df963a5c4d654224c04612b21d333f3c,833d14b4097cbd9cf8e8cd8fc5d697113e65396e,true,true,true,ds004563/derivatives/crossdecoding/sub-05_task-touchdecoding_crossdecoding.mat,RdskEgFe9NbNug5FHyQUuce5xYf9QTnF,false
sub-06,derivatives/crossdecoding/sub-06_task-touchdecoding_crossdecoding.mat,2cede779c1eda49aaff0a868b6426b1da4438042,SHA256E-s2625589--9257474d0d9f64ca238ee26f19ddf31aa4c7f50bc6299a96669a2fd7b67d9194.mat,2625589,9257474d0d9f64ca238ee26f19ddf31aa4c7f50bc6299a96669a2fd7b67d9194,339/ae7,d912be74cdbfa88f74e9a7becac21b5852c0bc37,593ad60e5348376ad722050734dbba5d1a169da3,true,true,true,ds004563/derivatives/crossdecoding/sub-06_task-touchdecoding_crossdecoding.mat,nvsA5f0L2rrqKQjt6CicM_ezxUMYFo69,false
sub-07,derivatives/crossdecoding/sub-07_task-touchdecoding_crossdecoding.mat,ecdb1960eb8f3e5e7ce388f6966190e39307c901,SHA256E-s2664835--30d042c7daf3003205837aa2e015206ccfc6650256c035425ea3bc0b46a08355.mat,2664835,30d042c7daf3003205837aa2e015206ccfc6650256c035425ea3bc0b46a08355,055/eb1,e8843f1b2699d0b82f4f0b32e260a02549d8877b,970059c7aeb5f2067d221fe4b0404c4d530f93b9,true,true,true,ds004563/derivatives/crossdecoding/sub-07_task-touchdecoding_crossdecoding.mat,q9BNF9GaCWGd3WBh.8ztB2heOTdhnQQL,false
sub-08,derivatives/crossdecoding/sub-08_task-touchdecoding_crossdecoding.mat,3d6edf826633494354612463659b23e3c4c1507d,SHA256E-s2743960--95c5bf760434f3662f5ae5c5e50d41daf3c0c6cb80096b11ba92bbd45c571d60.mat,2743960,95c5bf760434f3662f5ae5c5e50d41daf3c0c6cb80096b11ba92bbd45c571d60,a26/622,c6844203ce1e193ce6581c5d63d65a5ea1dc4d0b,bc82d08b5ccaf831449c8ddc78728f593f407e3c,true,true,true,ds004563/derivatives/crossdecoding/sub-08_task-touchdecoding_crossdecoding.mat,Itiq_KYgcdq3lfNCvw42Imgins70x.Pw,false
sub-09,derivatives/crossdecoding/sub-09_task-touchdecoding_crossdecoding.mat,e61da28edc3bd8979733941045c68c3725e53c83,SHA256E-s2762978--5bd9915d3797f5f5e9f9b46b3514250289072962dead2037aa821ccb891adbc9.mat,2762978,5bd9915d3797f5f5e9f9b46b3514250289072962dead2037aa821ccb891adbc9,51c/0ad,ab8b4c978b865b4a21e3adaac2fe1e627a4eb54d,3b26b140b5473dbed009f606d9a8f524f3961ded,true,true,true,ds004563/derivatives/crossdecoding/sub-09_task-touchdecoding_crossdecoding.mat,E5rWqVu1uxItKz6nNAker8MT3z7BWkaA,false
sub-10,derivatives/crossdecoding/sub-10_task-touchdecoding_crossdecoding.mat,8347d816bd70a695ef5f4921a4fd454109c6ac89,SHA256E-s2615014--9f34dcd503432c68abd84ee208f3cb19493598581e72066a2782e5beebd9e4cb.mat,2615014,9f34dcd503432c68abd84ee208f3cb19493598581e72066a2782e5beebd9e4cb,931/308,3995eb4a44c7681b15f03850093281c074358e6e,344e5cb430b534e725d166e189db831f211bb15a,true,true,true,ds004563/derivatives/crossdecoding/sub-10_task-touchdecoding_crossdecoding.mat,NedvRaBDP7Zv3VGV1X7OiD4duYLdrsyr,false
